REGION,TECHNOLOGY,VALUE
GLOBAL,PWRWONURYXX01,31.536
GLOBAL,RNWNLIARGXX,31.536
GLOBAL,RNWNLIBOLXX,31.536
GLOBAL,RNWNLIBRAXX,31.536
GLOBAL,RNWNLICHLXX,31.536
GLOBAL,RNWNLICOLXX,31.536
GLOBAL,RNWNLICRIXX,31.536
GLOBAL,RNWNLIDOMXX,31.536
GLOBAL,RNWNLIECUXX,31.536
GLOBAL,RNWNLIGTMXX,31.536
GLOBAL,RNWNLIHNDXX,31.536
GLOBAL,RNWNLIHTIXX,31.536
GLOBAL,RNWNLIJAMXX,31.536
GLOBAL,RNWNLIMEXXX,31.536
GLOBAL,RNWNLINICXX,31.536
GLOBAL,RNWNLIPANXX,31.536
GLOBAL,RNWNLIPERXX,31.536
GLOBAL,RNWNLIPRYXX,31.536
GLOBAL,RNWNLISLVXX,31.536
GLOBAL,RNWNLIURYXX,31.536
GLOBAL,RNWRPOARGXX,31.536
GLOBAL,RNWRPOBOLXX,31.536
GLOBAL,RNWRPOBRAXX,31.536
GLOBAL,RNWRPOCHLXX,31.536
GLOBAL,RNWRPOCOLXX,31.536
GLOBAL,RNWRPOCRIXX,31.536
GLOBAL,RNWRPODOMXX,31.536
GLOBAL,RNWRPOECUXX,31.536
GLOBAL,RNWRPOGTMXX,31.536
GLOBAL,RNWRPOHNDXX,31.536
GLOBAL,RNWRPOHTIXX,31.536
GLOBAL,RNWRPOJAMXX,31.536
GLOBAL,RNWRPOMEXXX,31.536
GLOBAL,RNWRPONICXX,31.536
GLOBAL,RNWRPOPANXX,31.536
GLOBAL,RNWRPOPERXX,31.536
GLOBAL,RNWRPOPRYXX,31.536
GLOBAL,RNWRPOSLVXX,31.536
GLOBAL,RNWRPOURYXX,31.536
GLOBAL,RNWTRNARGXX,31.536
GLOBAL,RNWTRNBOLXX,31.536
GLOBAL,RNWTRNBRAXX,31.536
GLOBAL,RNWTRNCHLXX,31.536
GLOBAL,RNWTRNCOLXX,31.536
GLOBAL,RNWTRNCRIXX,31.536
GLOBAL,RNWTRNDOMXX,31.536
GLOBAL,RNWTRNECUXX,31.536
GLOBAL,RNWTRNGTMXX,31.536
